,Run #,Run #_EIS,Sample #,x (cm),y (cm),Pt (Atomic%),Pd (Atomic%),Au (Atomic%),Ir (Atomic%),iR drop (Ω),Notes,d_average,EN,IE,SE,d_band,IR,overP0,J0,Voc0,overP1,J1,Voc1,overP2,J2,Voc2,overP3,J3,Voc3,overP4,J4,Voc4
0,run9-2,Run9-2,1,-2,3,0.3194,0.3605,0.2653,0.0549,52.82,,9.5169,1.408432,8.809566,1.277276,-2.438672,49.53399,0.651684768,-0.702661947,1.011283604,0.638556067,-0.817726965,0.919273301,0.649659774,-0.821815577,0.873299064,0.650143045,-0.46457468,0.911280186,0.646489165,-0.273854528,0.983287022
1,run9-2,Run9-2,2,-1,3,0.2331,0.3578,0.3196,0.0895,58.82,,9.4984,1.411251,8.825351,1.265004,-2.50587,55.66116,0.612873933,-0.262327467,1.199287365,0.596222287,-0.061858819,0.989254525,0.603409526,-0.052020206,0.985212055,0.607006224,-0.051580005,0.971279628,0.607892925,-0.043826822,0.979277736
2,run9-2,Run9-2,3,0,3,0.1772,0.3511,0.3343,0.1374,57.13,,9.4106,1.416829,8.833953,1.293384,-2.521235,57.13494,0.566531954,-0.016455417,1.17328703,0.525455753,0.245003923,0.983283088,0.523221216,0.269896794,0.957221725,0.529717217,0.251492224,0.95121944,0.533032884,0.242448729,0.945209727
3,run9-2,Run9-2,4,1,3,0.1396,0.3413,0.3158,0.2032,58.75,,9.2498,1.425175,8.834796,1.360938,-2.491679,58.75264,0.547118428,0.005102701,1.22727033,0.457013118,0.464502102,0.975292773,0.444237214,0.510017671,0.941286663,0.442973223,0.514522092,0.947276499,0.443334148,0.51304383,0.963243832
4,run9-2,Run9-2,5,2,3,0.1026,0.3213,0.2827,0.2934,58.37,,9.0172,1.437703,8.840057,1.46054,-2.444315,58.36995,0.516502953,0.132091747,1.243232291,0.377448998,0.680175899,0.987248284,0.351646328,0.743351342,0.953246241,0.34646585,0.755359493,0.963234042,0.342960696,0.76422196,0.935258382
5,run9-2,Run9-2,6,-3,2,0.456,0.2622,0.2536,0.0282,54.9,,9.4594,1.414432,8.86619,1.278188,-2.468144,54.89921,0.669515118,-0.545614384,1.27124565,0.654605831,-0.396826692,1.091247516,0.656353254,-0.382239536,1.085268488,0.655002076,-0.32684442,1.053281828,0.654807758,-0.309434042,1.057279907
6,run9-2,Run9-2,7,-2,2,0.3536,0.2671,0.3249,0.0544,53.56,,9.4832,1.415447,8.882665,1.2457,-2.555821,53.56072,0.652260479,-0.477916899,1.281287842,0.65442515,-0.506452469,1.083285967,0.662248711,-0.51859005,1.045278576,0.663853013,-0.483364414,1.049246975,0.663315008,-0.455979667,1.03922073
7,run9-2,Run9-2,8,-1,2,0.2653,0.2573,0.39,0.0874,52.89,,9.4725,1.418657,8.906648,1.225298,-2.640598,52.89188,0.630265664,-0.417818254,1.271249435,0.624863593,-0.313485619,1.06129533,0.634109678,-0.342164541,1.047251287,0.63959493,-0.369602593,1.045284344,0.641750377,-0.367186101,1.019286142
8,run9-2,Run9-2,9,0,2,0.1933,0.2502,0.4159,0.1406,50.81,,9.3849,1.42463,8.918575,1.249686,-2.670061,50.80736,0.639858701,-0.832339215,1.341288467,0.62609295,-0.594450977,1.121295514,0.638568295,-0.723933339,1.095288467,0.643976039,-0.719443396,1.073223281,0.643839444,-0.718879739,1.073295514
9,run9-2,Run9-2,10,1,2,0.1472,0.2485,0.3952,0.2091,56.62,,9.2255,1.432732,8.914725,1.320042,-2.634068,56.62288,0.570982908,-0.138313268,1.291287147,0.471370361,0.428093454,1.123263591,0.450733095,0.49839713,1.083255721,0.447511788,0.511114052,1.049198645,0.448566577,0.506919802,1.051265517
