Run #,Sample #,iR drop (Ω),Pt,Pd,Au,Ir,Oonset,Omax,Omin,Tafel slope,overP0
run9-2,1,52.82,0.3194,0.3605,0.2653,0.0549,1.17,1.26,1.41,5.56,0.651684768
run9-2,2,58.82,0.2331,0.3578,0.3196,0.0895,1.18,1.28,1.43,5.05,0.612873933
run9-2,3,57.13,0.1772,0.3511,0.3343,0.1374,1.19,1.34,1.44,4,0.566531954
run9-2,4,58.75,0.1396,0.3413,0.3158,0.2032,1.2,1.34,1.46,3.7,0.547118428
run9-2,5,58.37,0.1026,0.3213,0.2827,0.2934,1.2,1.35,1.48,3.34,0.516502953
run9-2,6,54.9,0.456,0.2622,0.2536,0.0282,1.17,1.25,1.41,5.52,0.669515118
run9-2,7,53.56,0.3536,0.2671,0.3249,0.0544,1.17,1.26,1.4,5.58,0.652260479
run9-2,8,52.89,0.2653,0.2573,0.39,0.0874,1.18,1.29,1.43,4.48,0.630265664
run9-2,9,50.81,0.1933,0.2502,0.4159,0.1406,1.22,1.33,1.42,4.63,0.639858701
run9-2,10,56.62,0.1472,0.2485,0.3952,0.2091,1.21,1.35,1.47,4.29,0.570982908
run9-2,11,57.43,0.1189,0.2495,0.3333,0.2983,1.2,1.37,1.49,3.17,0.567533084
run9-2,12,61.62,0.0875,0.2336,0.2712,0.4077,1.2,1.38,1.53,2.75,0.539248641
run9-2,13,56.36,0.5202,0.203,0.2568,0.0199,1.17,1.25,1.4,5.57,0.691561797
run9-2,14,55.36,0.3991,0.2076,0.3451,0.0482,1.17,1.25,1.4,5.99,0.683983689
run9-2,15,55.17,0.2945,0.1966,0.4287,0.0802,1.19,1.3,1.41,5.37,0.678664057
run9-2,16,56.09,0.2084,0.1914,0.4746,0.1256,1.21,1.34,1.44,4.73,0.664606146
run9-2,17,49.48,0.1589,0.189,0.4596,0.1924,1.23,1.36,1.47,4.11,0.623637619
run9-2,18,77.26,0.129,0.1878,0.3963,0.2869,1.22,1.35,1.48,4.65,0.609626364
run9-2,19,81.13,0.1015,0.1821,0.3193,0.3972,1.22,1.35,1.47,2.12,
run9-2,22,68.58,0.3275,0.151,0.4458,0.0758,1.13,1.23,1.35,4.75,0.714323657
run9-2,23,59.27,0.2299,0.1456,0.5111,0.1135,1.23,1.33,1.44,5.21,0.709739418
run9-2,24,39.96,0.1721,0.1389,0.5193,0.1697,1.24,1.34,1.44,3.78,0.691491014
run9-2,25,64.31,0.1406,0.1429,0.4636,0.2529,1.22,1.36,1.47,3.91,0.635852694
run9-2,30,59.64,0.2616,0.1167,0.5259,0.0957,1.25,1.35,1.43,4.78,0.715639288
Run9-2,32,63.65,0.139,0.1152,0.5325,0.2133,1.22,1.36,1.48,4.77,0.658396628
Run9-2,33,55.91,0.116,0.1212,0.459,0.3037,1.22,1.37,1.52,2.91,0.60974188
